> py .\solve.py
Level = 98, Scancode = 0x48 (H), bignum_96f = 0xcaa0d5e3f0222a6df5776d7ca7007b52
Level = 99, Scancode = 0x4d (M), bignum_96f = 0xb378933a42d66686d5e098ad947076a0
Level = 100, Scancode = 0x4d (M), bignum_96f = 0xbde67e2cd94a110f3af32727fe4d4f1f
Level = 101, Scancode = 0x50 (P), bignum_96f = 0x39e5e6538a496db2a8fea124e42596b0
Level = 102, Scancode = 0x48 (H), bignum_96f = 0x25e738d875c4a7f637ce8c39bbf033a7
Level = 103, Scancode = 0x50 (P), bignum_96f = 0x8cbf7309a35b8d66480e3e2573c3d4c0
Level = 104, Scancode = 0x4b (K), bignum_96f = 0x1626f2bac0ee1439f9a6befb51f17a32
Level = 105, Scancode = 0x48 (H), bignum_96f = 0x66507ce38ed0f3eb2f0451caa49f3188
Level = 106, Scancode = 0x4d (M), bignum_96f = 0xaab24ad1195735e4e3dac57db4b54fff
Level = 107, Scancode = 0x48 (H), bignum_96f = 0x4cb182cc725b272ed8544ea4c89dcf90
Level = 108, Scancode = 0x4b (K), bignum_96f = 0x627ba2ab4b9d7cdb8b64232b2e66348a
Level = 109, Scancode = 0x4b (K), bignum_96f = 0xdf1853c5189d456b70cfd6069fb10e5b
Level = 110, Scancode = 0x4d (M), bignum_96f = 0x3ac1b61e541f8640992c4b525aeda917
Level = 111, Scancode = 0x4b (K), bignum_96f = 0x2bca25963a02a311fd38e4320993bda6
Level = 112, Scancode = 0x4b (K), bignum_96f = 0xec5579fae9b81ea6353231e41901cd22
Level = 113, Scancode = 0x48 (H), bignum_96f = 0xa303ee77a2f5c019493e6023f4939cee
Level = 114, Scancode = 0x4b (K), bignum_96f = 0xc6f5266da938f77667d9d6ccd41c06d
Level = 115, Scancode = 0x48 (H), bignum_96f = 0x61cc21e359c7b4dfd6568b08439b7cf6
Level = 116, Scancode = 0x50 (P), bignum_96f = 0x331fb0bacd05596c4a547aa42039e2fd
Level = 117, Scancode = 0x4d (M), bignum_96f = 0x45874afdcdbd4bfac56e4e9dd13bff03
Level = 118, Scancode = 0x4b (K), bignum_96f = 0x67494232ed907824e4c32a127cc6e4c8
Level = 119, Scancode = 0x4d (M), bignum_96f = 0xad3a3818eeb275d77619d75399ba7090
Level = 120, Scancode = 0x50 (P), bignum_96f = 0xd96cbcd533c2761fe7af974d4571d718
Level = 121, Scancode = 0x50 (P), bignum_96f = 0x3e97ac3a32faf9899b838175ee1c12e0
Level = 122, Scancode = 0x4b (K), bignum_96f = 0x138d954d854d0460c6d2ca21abc8c963
Level = 123, Scancode = 0x50 (P), bignum_96f = 0x65254360d254daa3b8016a120fccb3f0
Level = 124, Scancode = 0x50 (P), bignum_96f = 0x278c67289d85864bb26b2a3e97506cf3
Level = 125, Scancode = 0x4d (M), bignum_96f = 0x22b600844a27bf0c129dfcb7a9bdf4fd
Level = 126, Scancode = 0x50 (P), bignum_96f = 0x8b4e6ab5fed416969198daf0babc6fc3
Level = 127, Scancode = 0x48 (H), bignum_96f = 0xb302419dccc820a6af8e9bfa6422a6c5
Level = 128, Scancode = 0x48 (H), bignum_96f = 0x4f2bf29d85e6b893d012c6c14b4c308b
The final memory value for bignum @ 96f is: b'2b4f9df2e68593b812d0c1c64c4b8b30' with rol7XorAdd value of 0x31D9F5FF
Writing ./flaresay._patched.exe
Running patched flaresay
